Vol Filtered (m3),00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,26.167,22.754,26.799,26.824,23.787,25.813,25.026,22.507,23.501,25.811,24.606,25.162
10-20,22.678,26.305,27.253,25.732,25.13,25.431,24.76,26.249,24.906,23.368,26.836,24.056
20-30,26.026,23.507,26.783,22.704,23.86,23.782,23.032,23.337,25.149,25.629,24.715,25.833
30-50,51.771,46.564,54.089,50.927,50.934,53.302,51.447,48.761,54.022,48.373,51.305,52.601
50-100,121.242,135.077,133.866,126.117,121.378,133.799,133.086,127.765,128.05,129.093,114.042,117.16
100-125,58.579,56.337,65.348,57.688,57.295,61.094,58.608,59.291,68.258,64.988,58.252,66.543
,,,,,,,,,,,,
Egg counts,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,4570,3178,4743,4642,2860,3232,2845,2820,4129,2611,4819,3148
10-20,0,0,0,0,0,0,0,0,0,0,0,0
20-30,0,0,0,0,0,0,0,0,0,0,0,0
30-50,0,0,0,0,0,0,0,0,0,0,0,0
50-100,0,0,0,0,0,0,0,0,0,0,0,0
100-125,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Cypris counts,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,2362,1984,2526,2463,2332,2213,2100,1805,2095,2543,2094,2018
11-20,20,138,77,24,49,65,208,126,44,23,183,193
21-30,0,0,0,0,0,0,0,0,0,0,0,0
31-50,0,0,0,0,0,0,0,0,0,0,0,0
50-100,0,0,0,0,0,0,0,0,0,0,0,0
100-125,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Furcilia I-III counts,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,1458,1368,1297,1404,1117,1352,1440,1476,1068,1165,1266,1389
11-20,126,237,686,687,543,266,142,258,679,548,732,266
21-30,0,0,0,0,0,0,0,0,0,0,0,0
31-50,0,0,0,0,0,0,0,0,0,0,0,0
50-100,0,0,0,0,0,0,0,0,0,0,0,0
100-125,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Furcilia IV-VI counts,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,1019,752,102,78,159,682,649,800,71,95,95,624
11-20,265,261,241,173,301,296,315,299,205,204,238,227
21-30,10,155,488,331,393,239,54,100,377,341,375,167
31-50,0,0,1026,1219,1159,0,0,0,1026,957,876,0
50-100,0,0,102,1421,92,0,0,0,29,1834,52,0
100-125,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Adult counts,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
Net depth range (m),,,,,,,,,,,,
0-10,654,565,27,30,13,633,645,692,15,31,27,754
11-20,85,203,48,94,74,168,161,155,74,44,83,121
21-30,39,35,107,111,136,38,40,30,105,90,148,46
31-50,48,53,486,538,587,50,40,50,417,629,640,63
50-100,82,74,1286,507,499,56,83,86,2003,432,605,60
100-125,4,15,560,864,313,11,13,21,432,587,309,17
