Depth,00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
-1,18.19,18.36,18.02,17.68,17.85,17.68,17.85,18.19,18.36,18.19,16.32,16.32
-5,17.51,15.64,15.81,17.85,18.36,15.98,15.98,17.51,17.68,15.98,16.49,16.32
-10,15.51,16.005,16.005,15.18,15.345,15.18,17.655,15.675,15.345,15.345,15.18,15.345
-15,12.22,12.22,13.78,13.91,12.35,13.78,12.48,14.04,11.96,13.52,13.78,13.39
-20,11.78,11.532,12.896,12.772,12.772,12.772,11.656,11.408,13.268,12.028,11.532,11.656
-25,10.464,11.554,11.663,10.137,10.246,11.227,11.445,10.464,11.554,10.028,10.137,10.028
-30,9.87,10.185,9.975,10.815,9.975,9.975,11.025,11.025,9.975,11.235,10.92,9.87
-35,10.7,10.8,10.6,9.6,9.2,9.2,10.6,10.3,10.4,9.4,9.5,9.3
-40,10.192,10.094,10.486,9.506,10.094,9.114,10.486,9.114,10.584,9.016,9.31,9.506
-45,9.737,9.828,8.463,9.828,8.736,9.373,9.464,8.645,9.646,8.827,8.827,9.828
-50,7.99,9.095,9.18,8.16,8.755,8.245,8.075,8.075,8.755,8.16,8.84,8.245
-55,8.652,7.728,8.148,8.148,8.988,7.896,9.072,8.736,8.736,7.896,8.148,8.064
-60,8.532,7.584,8.295,7.268,7.663,7.505,7.505,7.505,7.505,7.505,8.532,8.216
-65,7.268,7.505,8.453,8.137,7.347,8.374,7.347,7.505,8.453,7.584,7.663,7.505
-70,7.828,7.98,7.144,6.992,6.992,7.98,7.068,7.296,7.98,7.296,7.372,8.056
-75,6.992,7.068,8.132,7.22,7.144,7.296,6.992,8.132,7.904,7.296,7.828,7.22
-80,6.882,7.696,7.03,7.622,7.03,7.918,7.178,6.882,6.956,7.992,7.696,7.622
-85,7.844,6.956,7.844,7.178,7.77,6.808,6.956,6.808,6.956,6.956,7.696,6.808
-90,7.811,7.811,7.008,6.862,7.884,6.789,7.665,7.519,7.738,6.862,7.884,6.716
-95,7.884,7.665,6.789,6.862,6.716,7.884,6.862,7.738,6.789,7.884,7.081,6.862
-100,6.882,7.104,7.696,7.622,6.808,6.808,7.844,7.918,7.77,7.844,7.844,7.622
-105,7.14,7.072,7.004,7.208,6.46,6.596,7.344,6.392,7.14,7.344,7.276,6.46
-110,7.102,6.968,6.901,6.968,7.102,6.499,6.499,6.164,6.298,6.499,7.169,6.968
-115,6.24,6.11,6.24,6.695,6.305,7.02,6.825,6.11,6.175,5.98,6.695,6.76
