Depth (m),00H00,04H00,08H00,12H00,16H00,20H00,00H00,04H00,08H00,12H00,16H00,20H00
0,24.61,23.92,23.69,21.62,24.84,21.39,23.69,24.15,22.31,22.31,23.92,24.84
-5,23.1,23.76,23.32,20.46,22.66,22.66,23.76,20.9,20.24,21.12,22.88,22.88
-10,20.21,19.995,19.78,22.79,19.78,22.36,20.21,22.36,19.995,22.145,22.79,20.21
-15,22.578,20.448,20.022,20.022,22.365,19.809,22.365,22.152,23.004,21.939,21.939,20.661
-20,22.68,21.84,19.32,19.74,22.26,22.47,22.05,22.05,19.32,22.47,20.16,22.05
-25,19.68,21.73,21.73,22.14,19.68,22.14,19.885,19.475,21.115,21.115,21.73,19.885
-30,20.14,18.24,18.24,18.05,17.67,19.76,19.95,18.24,19.95,17.86,17.48,17.86
-35,13.95,14.4,16.05,16.05,15.6,14.55,13.8,13.95,16.05,16.05,14.25,16.2
-40,13.58,15.12,13.02,12.88,14.7,14.7,14.84,14.56,14.7,14.98,14.84,13.58
-45,13.78,13.78,12.61,14.04,13.65,13.39,14.04,11.96,13.52,11.96,12.35,13.78
-50,11.875,11.75,11.625,13.125,12.125,11.5,11.875,13.25,12.125,11.875,12,11.625
-55,12.48,12.72,11.16,12.6,12.6,11.52,11.64,12.48,12.72,11.52,12.72,12.84
-60,12.19,12.19,10.58,10.58,10.58,10.58,12.19,10.81,12.075,10.81,10.81,10.925
-65,11.77,11.77,11.77,10.45,11.77,11.55,10.67,10.23,10.12,10.56,10.56,11.88
-70,10.185,10.185,11.235,9.66,9.66,10.08,11.13,10.185,9.87,10.92,10.08,10.92
-75,10.5,9.7,9.4,9.6,9.2,9.7,9.5,10.6,9.2,9.4,10.7,9.5
-80,10.368,9.984,10.08,10.08,10.176,10.368,9.024,10.176,9.888,8.928,9.888,9.024
-85,9.31,10.192,10.584,10.486,10.486,10.584,9.31,9.016,10.29,9.31,9.114,9.016
-90,10.4,10.5,10.4,9.4,9.5,10.4,9.6,10.4,9.5,9.7,9.2,9.7
-95,9.215,9.118,9.409,8.924,9.312,10.185,9.991,10.088,10.476,9.215,10.282,8.924
-100,8.736,9.828,8.827,8.372,9.737,8.827,8.554,8.645,9.646,8.736,8.645,9.555
-105,9.024,9.87,10.058,9.87,8.648,8.648,8.836,9.024,9.024,10.152,9.118,9.776
-110,9.464,8.827,8.827,9.828,9.737,9.464,9.646,8.372,9.373,8.372,8.827,8.645
-115,9.12,10.26,10.26,9.975,10.26,10.26,8.74,9.215,9.975,10.165,9.88,8.93
-120,9.785,8.835,9.025,9.12,9.025,8.74,10.07,8.74,8.93,10.26,9.975,9.88
-125,8.091,8.439,9.048,8.352,8.178,8.961,8.439,8.004,8.265,9.135,8.004,8.352
-130,8.37,8.37,8.55,8.46,8.55,8.46,8.46,8.28,9.72,8.46,8.28,9.36
-135,9.416,8.536,8.184,9.416,9.328,8.448,8.36,9.24,8.536,9.24,9.24,8.36
-140,7.998,9.288,9.03,9.03,8.17,9.288,7.912,8.17,8.944,8.256,9.288,7.912
-145,8.366,9.167,9.167,8.277,9.612,8.188,9.167,8.544,9.523,8.544,8.188,9.345
-150,8.988,8.904,8.988,8.904,7.896,7.728,7.98,7.896,8.904,8.652,8.736,7.812
-155,8.148,7.896,9.072,8.736,8.652,8.148,7.728,8.064,8.064,7.812,7.896,7.728
-160,8.692,7.626,7.544,7.626,7.954,7.544,7.626,7.708,8.856,7.544,7.708,8.692
-165,8.528,7.872,7.544,8.528,7.626,7.544,7.79,7.708,7.79,8.446,8.856,8.692
-170,8.715,8.964,8.964,7.719,8.632,8.632,7.968,7.885,8.549,8.798,7.636,8.798
-175,8.532,7.505,8.532,8.137,7.426,7.584,8.137,8.295,8.216,7.347,8.532,7.347
-180,7.68,8.32,8.32,8.4,7.76,7.76,7.44,8.56,7.6,7.44,8.4,8.32
-185,7.254,8.268,7.332,7.176,7.566,8.268,8.268,7.176,8.034,7.254,8.424,7.566
-190,8.295,8.453,8.295,8.216,7.426,7.347,8.216,8.137,7.663,7.663,8.374,7.426
-195,7.828,7.828,7.98,8.208,7.144,6.992,6.992,7.068,8.132,7.22,8.208,7.296
-200,7.469,8.008,7.315,7.161,7.392,7.161,7.469,8.085,8.239,7.238,7.084,8.316
